Feature,Subgroup Range,AUC >0,AUC >1,AUC >2,Spearman Corr >0,Spearman Corr >1,Spearman Corr >2,Max AUC,Max AUC,Mean AUC
Liver/Spleen HU,Probable NASH,,0.881904762,,,-0.659128609,,0.881904762,0.881904762,0.881904762
SMI,NAFL,0.714285714,0.72875817,0.881818182,0.097469748,0.243231568,0.243408399,0.881818182,0.881818182,0.774954022
SFA (Attenuation),"NAFL, Probable NASH",0.882352941,0.578947368,0.881188119,-0.129878836,-0.120281879,0.182217007,0.882352941,0.881188119,0.780829476
Alb,"Others, None, NAFL",0.722527473,0.880718954,0.75,0.386043434,0.302786885,0.117021265,0.880718954,0.880718954,0.784415476
Liver (PDFF),"None, NAFL, Probable NASH, NASH",0.731077857,0.880278192,0.814044944,0.289131101,0.628770591,0.244141003,0.880278192,0.880278192,0.808466998
Liver (PDFF),"Others, NAFL, Probable NASH, NASH",0.715998428,0.880242424,0.813259669,0.279439213,0.626398563,0.24171688,0.880242424,0.880242424,0.80316684
Liver/Spleen HU,"NAFL, Probable NASH",0.617647059,0.880116959,0.633663366,-0.039962719,-0.579134973,-0.063894275,0.880116959,0.880116959,0.710475795
DBP,"None, NAFL",0.560714286,0.693333333,0.879746835,0.097285028,0.175632182,0.204415492,0.879746835,0.879746835,0.711264818
Liver (PDFF),"Probable NASH, NASH",0.827669903,0.878368794,0.825757576,0.215333189,0.650527526,0.296813006,0.878368794,0.878368794,0.843932091
Liver/Spleen HU,"Others, Probable NASH, NASH, Cirrhosis",0.810156931,0.876602564,0.799337748,-0.452029023,-0.640101274,-0.250278236,0.876602564,0.876602564,0.828699081
Liver/Spleen HU,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.776344086,0.875875134,0.802898551,-0.417889286,-0.592856779,-0.227787927,0.875875134,0.875875134,0.81837259
Liver (PDFF),"NAFL, Probable NASH, NASH",0.820125786,0.875541126,0.803896104,0.190659773,0.637965741,0.251907061,0.875541126,0.875541126,0.833187672
HDL,"Others, NAFL",0.659438776,0.580128205,0.875,-0.263534851,0.072356811,-0.200458404,0.875,0.875,0.70485566
Alb,"None, NAFL",0.793928571,0.87,0.721518987,0.471574951,0.336552552,0.119394524,0.87,0.87,0.795149186
SMA (Attenuation),"Others, NAFL",0.640943878,0.86965812,0.719512195,0.2301767,0.329811117,0.115937169,0.86965812,0.86965812,0.743371397
Liver (PDFF),NASH,0.833333333,0.869463869,0.837264151,0.285867854,0.614659745,0.394432109,0.869463869,0.869463869,0.846687118
Liver/Spleen HU,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.779678363,0.868640414,0.790453074,-0.367557778,-0.598452224,-0.229476866,0.868640414,0.868640414,0.81292395
CAP,NAFL,0.767857143,0.743464052,0.868181818,-0.122761698,0.260832197,0.236496284,0.868181818,0.868181818,0.793167671
Liver/Spleen HU,"Others, NASH, Cirrhosis",0.804573805,0.868117798,0.823809524,-0.492889895,-0.619799941,-0.316077419,0.868117798,0.868117798,0.832167042
Age,NASH,0.99122807,0.77039627,0.867924528,-0.421602348,-0.450190952,-0.430619896,0.99122807,0.867924528,0.87651629
Liver/Spleen HU,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.77015873,0.867077465,0.788587849,-0.345498481,-0.598032801,-0.229495167,0.867077465,0.867077465,0.808608015
Liver (PDFF),"Others, NASH",0.764006791,0.866038723,0.853125,0.436887246,0.629931562,0.351685486,0.866038723,0.866038723,0.827723505
Liver (PDFF),"Others, None, NAFL",0.604739011,0.866013072,0.787735849,0.181296592,0.290440912,0.134383946,0.866013072,0.866013072,0.752829311
BMI_C,Cirrhosis,0.531746032,0.863636364,0.82,-0.049346377,-0.528134093,-0.313339781,0.863636364,0.863636364,0.738460798
SFA (Attenuation),"Others, NAFL, Probable NASH",0.516806723,0.560589716,0.86328125,0.023934384,-0.085145075,0.154889895,0.86328125,0.86328125,0.646892563
SMI,"None, NAFL",0.512857143,0.695555556,0.860759494,-0.020575348,0.177425124,0.193947871,0.860759494,0.860759494,0.689724064
DBP,"Others, NAFL",0.56377551,0.679487179,0.859756098,0.104216737,0.160238495,0.190125595,0.859756098,0.859756098,0.701006262
SMA (Area),"Others, NAFL",0.757015306,0.764957265,0.859756098,0.419733981,0.236396408,0.190008138,0.859756098,0.859756098,0.793909556
Liver/Spleen HU,"Probable NASH, NASH, Cirrhosis",0.808870968,0.859531773,0.776612903,-0.281180921,-0.622467123,-0.251814768,0.859531773,0.859531773,0.815005215
Liver (PDFF),"Others, NAFL",0.600765306,0.858974359,0.774390244,0.164560717,0.320279004,0.144921461,0.858974359,0.858974359,0.74470997
HDL,"NAFL, Probable NASH",0.852941176,0.511452242,0.858910891,-0.120914723,-0.017597702,-0.173037045,0.858910891,0.858910891,0.741101436
Liver (PDFF),"None, NAFL",0.623571429,0.857777778,0.784810127,0.197751956,0.32460733,0.15311674,0.857777778,0.857777778,0.755386444
HDL,"Others, NAFL, Probable NASH",0.668767507,0.547285149,0.857421875,-0.242579499,-0.067067392,-0.153810955,0.857421875,0.857421875,0.691158177
Liver/Spleen HU,"NAFL, Probable NASH, NASH, Cirrhosis",0.768181818,0.856455399,0.772346369,-0.216433825,-0.596744195,-0.228929593,0.856455399,0.856455399,0.798994529
Spleen_Vl_Nor_BSA,"Others, Cirrhosis",0.675324675,0.665306122,0.855769231,0.296129044,-0.166013469,-0.232785753,0.855769231,0.855769231,0.732133343
Spleen (Volume),"Others, Cirrhosis",0.698412698,0.66122449,0.855769231,0.335125461,-0.161914371,-0.232785753,0.855769231,0.855769231,0.738468806
Alb,"Others, NAFL",0.661352041,0.853632479,0.701219512,0.264220675,0.316369332,0.106564198,0.853632479,0.853632479,0.738734677
Liver (PDFF),"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.676523297,0.852483321,0.759782609,0.266939654,0.555961562,0.195363569,0.852483321,0.852483321,0.762929742
Liver (PDFF),"Others, Probable NASH, NASH, Cirrhosis",0.699869224,0.851282051,0.753642384,0.291293474,0.597064678,0.212072045,0.851282051,0.851282051,0.768264553
Liver/Spleen HU,"NASH, Cirrhosis",0.807692308,0.85072314,0.796153846,-0.338298392,-0.607509525,-0.325612202,0.85072314,0.85072314,0.818189765
CAP,"Others, None, NAFL, Probable NASH",0.778374811,0.781131525,0.850328947,0.457447448,0.371452091,0.137823201,0.850328947,0.850328947,0.803278428
Age,"Others, NASH",0.638653084,0.699372057,0.85,-0.229545803,-0.343254453,-0.348722186,0.85,0.85,0.729341714
Liver/Spleen HU,NAFL,0.553571429,0.849673203,0.745454545,-0.024367437,-0.371796825,-0.156476828,0.849673203,0.849673203,0.716233059
Liver (PDFF),"None, NAFL, Probable NASH, NASH, Cirrhosis",0.68047619,0.84956964,0.752052545,0.230805977,0.56950952,0.200441013,0.84956964,0.84956964,0.760699459
Liver (PDFF),"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.668859649,0.849094567,0.751213592,0.221918052,0.566721424,0.198475117,0.849094567,0.849094567,0.75638927
DBP,"Others, None, NAFL, Probable NASH",0.581259427,0.62962963,0.848684211,0.133212117,0.170866231,0.136847633,0.848684211,0.848684211,0.686524422
Liver (HU),"None, NAFL",0.702142857,0.628888889,0.848101266,0.323490194,0.116939287,0.187142682,0.848101266,0.848101266,0.726377671
당뇨병/당뇨병 전단계 유무,"Others, Cirrhosis",0.612554113,0.76122449,0.846153846,0.236890646,0.326901459,0.282231678,0.846153846,0.846153846,0.739977483
HbA1c,"Others, Cirrhosis",0.559163059,0.655102041,0.846153846,0.106028642,-0.165274752,-0.240321038,0.846153846,0.846153846,0.686806315
Liver (PDFF),"Probable NASH, NASH, Cirrhosis",0.674193548,0.84548495,0.738709677,0.15857723,0.598147477,0.217309537,0.84548495,0.84548495,0.752796059
DBP,NAFL,0.678571429,0.660130719,0.845454545,-0.081305197,0.170430645,0.220444656,0.845454545,0.845454545,0.728052231
Liver (PDFF),"NAFL, Probable NASH, NASH, Cirrhosis",0.662626263,0.844835681,0.741154562,0.131246123,0.577291552,0.202710306,0.844835681,0.844835681,0.749538835
SMA (Attenuation),"Others, None, NAFL",0.586538462,0.844771242,0.712264151,0.149792594,0.273584967,0.099135698,0.844771242,0.844771242,0.714524618
SMA (Area),"Others, None, NAFL",0.637534341,0.742647059,0.844339623,0.238063796,0.192547224,0.160820515,0.844339623,0.844339623,0.741507007
SMI,"Others, NAFL, Probable NASH",0.726890756,0.719165768,0.84375,0.323114185,0.307987674,0.146562481,0.84375,0.84375,0.763268841
Age,"Probable NASH, NASH",0.941747573,0.760460993,0.843434343,-0.290408458,-0.447974947,-0.313034925,0.941747573,0.843434343,0.848547636
Liver (PDFF),NAFL,0.964285714,0.843137255,0.763636364,0.211184455,0.364847352,0.168067704,0.964285714,0.843137255,0.857019778
DBP,"Others, Cirrhosis",0.551226551,0.516326531,0.841346154,0.086640618,-0.016418624,0.223651333,0.841346154,0.841346154,0.636299745
DBP,"None, NAFL, Probable NASH",0.576862745,0.617777778,0.84,0.105967994,0.167083655,0.146770121,0.84,0.84,0.678213508
LDL,Cirrhosis,0.702380952,0.518181818,0.84,0.336645275,-0.028258641,-0.356271871,0.84,0.84,0.686854257
DBP,Cirrhosis,0.531746032,0.545454545,0.84,0.045856003,-0.061347256,0.309375131,0.84,0.84,0.639066859
SMA (Attenuation),NAFL,0.892857143,0.839869281,0.654545455,0.178694539,0.361372615,0.098522447,0.892857143,0.839869281,0.795757293
SMI,"Others, None, NAFL, Probable NASH",0.626696833,0.700495771,0.838815789,0.207561392,0.264099767,0.13288608,0.838815789,0.838815789,0.722002798
Age,"Others, Probable NASH, NASH",0.60209834,0.717342342,0.837301587,-0.149189761,-0.374504212,-0.276929696,0.837301587,0.837301587,0.71891409
Liver (HU),"Others, None, NAFL",0.643887363,0.632352941,0.83490566,0.249059908,0.105025509,0.156414101,0.83490566,0.83490566,0.703715321
HDL,"Others, None, NAFL",0.541895604,0.608660131,0.83254717,-0.073248178,0.08709207,-0.156875046,0.83254717,0.83254717,0.661034302
PT INR,"Others, None, NAFL",0.720123626,0.74754902,0.83254717,-0.381366269,-0.196615094,-0.155453721,0.83254717,0.83254717,0.766739939
HDL,"Others, None, NAFL, Probable NASH",0.551753394,0.523476232,0.830592105,-0.085503925,-0.031185851,-0.130759945,0.830592105,0.830592105,0.63527391
DBP,"Others, NAFL, Probable NASH",0.576505602,0.613807983,0.828125,0.109013257,0.160022184,0.139980093,0.828125,0.828125,0.672812862
SFA (Attenuation),NAFL,0.839285714,0.62745098,0.827272727,-0.154327102,0.135514731,0.208635771,0.839285714,0.827272727,0.764669807
CAP,"None, NAFL, Probable NASH",0.772941176,0.757777778,0.826,0.377098772,0.366474133,0.141027424,0.826,0.826,0.785572985
HDL,"None, NAFL, Probable NASH",0.567254902,0.510185185,0.826,0.093358395,0.01454823,-0.141692528,0.826,0.826,0.634480029
HDL,"None, NAFL",0.577857143,0.664444444,0.825949367,0.125754246,0.150586362,-0.176863764,0.825949367,0.825949367,0.689416985
PT INR,"None, NAFL",0.768214286,0.735555556,0.825949367,-0.42983418,-0.214020134,-0.175482458,0.825949367,0.825949367,0.776573069
PT INR,"Others, None, NAFL, Probable NASH",0.711444193,0.623213765,0.824013158,-0.34675034,-0.162465947,-0.127209286,0.824013158,0.824013158,0.719557039
SFA (Attenuation),"None, NAFL, Probable NASH",0.709019608,0.617037037,0.824,-0.287910487,-0.165884408,0.139738276,0.824,0.824,0.716685548
Alb,NAFL,0.794642857,0.823529412,0.636363636,0.134477112,0.345169905,0.087227486,0.823529412,0.823529412,0.751511968
CAP,"Others, NAFL, Probable NASH",0.768382353,0.75566343,0.822265625,0.383437296,0.360437859,0.137846347,0.822265625,0.822265625,0.782103803
SBP,"Others, None, NAFL",0.606284341,0.578431373,0.820754717,0.184086366,0.062276211,0.149898621,0.820754717,0.820754717,0.668490143
SFA (Attenuation),"Others, None, NAFL, Probable NASH",0.584087481,0.594050744,0.819078947,-0.137756519,-0.1238868,0.125145144,0.819078947,0.819078947,0.665739057
Liver (HU),NAFL,0.839285714,0.565359477,0.818181818,0.154327102,0.069494734,0.202840333,0.839285714,0.818181818,0.740942337
SMA (Area),NAFL,0.785714286,0.696078431,0.818181818,0.129959665,0.208484201,0.202840333,0.818181818,0.818181818,0.766658178
PT INR,"None, NAFL, Probable NASH",0.770392157,0.606851852,0.818,-0.372920915,-0.15164095,-0.137325024,0.818,0.818,0.731748003
Liver (PDFF),"Others, NASH, Cirrhosis",0.673596674,0.817541613,0.776190476,0.280930418,0.534644819,0.269595446,0.817541613,0.817541613,0.755776254
SFA (Attenuation),"Others, NAFL",0.588647959,0.64957265,0.817073171,0.14477177,0.133449585,0.167464799,0.817073171,0.817073171,0.685097926
SMI,"NAFL, Probable NASH",0.715686275,0.679824561,0.816831683,0.073264985,0.273975391,0.151453096,0.816831683,0.816831683,0.737447506
Liver (PDFF),"NASH, Cirrhosis",0.656410256,0.816115702,0.76025641,0.171968349,0.547563813,0.286144057,0.816115702,0.816115702,0.74426079
VFA (Area),"Others, None, NAFL",0.732142857,0.733660131,0.816037736,0.401824577,0.185415404,0.147602039,0.816037736,0.816037736,0.760613575
SMI,"None, NAFL, Probable NASH",0.518039216,0.665555556,0.816,0.024847809,0.234652944,0.136287948,0.816,0.816,0.66653159
SMA (Attenuation),"None, NAFL",0.537857143,0.815555556,0.664556962,0.060582969,0.286299633,0.08846745,0.815555556,0.815555556,0.672656553
SBP,"Others, NAFL",0.62244898,0.575854701,0.81402439,0.200090049,0.067717781,0.16595204,0.81402439,0.81402439,0.670776024
DBP,"NAFL, Probable NASH",0.661764706,0.592592593,0.811881188,-0.054989066,0.141174872,0.149196057,0.811881188,0.811881188,0.688746162
Liver (HU),"Others, NAFL",0.598852041,0.591880342,0.81097561,0.161436147,0.081976174,0.164244322,0.81097561,0.81097561,0.667235997
SMA (Area),"None, NAFL",0.509642857,0.687777778,0.810126582,0.015431598,0.170369405,0.166728058,0.810126582,0.810126582,0.669182406
HbA1c,Cirrhosis,0.757936508,0.636363636,0.81,0.381640506,-0.188517335,-0.288936941,0.81,0.81,0.734766715
Age,"NASH, Cirrhosis",0.728205128,0.72107438,0.808974359,-0.25105612,-0.383167975,-0.339913061,0.808974359,0.808974359,0.752751289
ALT,"Others, Cirrhosis",0.755411255,0.808163265,0.610576923,-0.43145543,-0.309523195,-0.072361983,0.808163265,0.808163265,0.724717148
SMA (Attenuation),"Others, Cirrhosis",0.536796537,0.587755102,0.807692308,-0.06215054,-0.088130607,-0.201328219,0.807692308,0.807692308,0.644081316
PT INR,"Others, NAFL",0.675701531,0.707264957,0.804878049,-0.287219032,-0.185102996,-0.161180582,0.804878049,0.804878049,0.729281512
PT INR,"Others, NAFL, Probable NASH",0.657913165,0.580906149,0.8046875,-0.225137267,-0.11382351,-0.130054256,0.8046875,0.8046875,0.681168938
PT INR,Cirrhosis,0.531746032,0.804545455,0.58,-0.045792855,-0.410460593,-0.072693904,0.804545455,0.804545455,0.638763829
SBP,"None, NAFL",0.58,0.541111111,0.800632911,0.128125702,0.037329118,0.161751128,0.800632911,0.800632911,0.640581341
PLT,Cirrhosis,0.654761905,0.790909091,0.8,0.223137836,0.39190203,0.272477179,0.8,0.8,0.748556999
SMA (Attenuation),Cirrhosis,0.507936508,0.572727273,0.8,0.011437725,-0.097930637,-0.27235239,0.8,0.8,0.626887927
BMI,Cirrhosis,0.515873016,0.8,0.78,0.022875451,-0.403963876,-0.254195564,0.8,0.8,0.698624339
VFA (Area),"Others, Probable NASH",0.860708535,0.799450549,,0.60328945,0.469618231,,0.860708535,0.799450549,0.830079542
VFA (Area),"Others, NAFL",0.75255102,0.715811966,0.798780488,0.412443317,0.192548687,0.157803369,0.798780488,0.798780488,0.755714491
Sex,"Others, NAFL",0.651785714,0.724358974,0.798780488,0.290269805,0.234403615,0.184787287,0.798780488,0.798780488,0.724975059
Liver (HU),"Others, NASH",0.744199208,0.79696494,0.6921875,0.404108996,0.511059559,0.191404048,0.79696494,0.79696494,0.744450549
AST,"Others, Cirrhosis",0.668109668,0.795918367,0.605769231,-0.28399138,-0.297235593,-0.069218449,0.795918367,0.795918367,0.689932422
VFA (Area),"Others, None, NAFL, Probable NASH",0.783936652,0.792942549,0.759868421,0.465159905,0.385873769,0.101922333,0.792942549,0.792942549,0.778915874
PT INR,"NAFL, Probable NASH",0.68627451,0.544346979,0.792079208,-0.063361873,-0.067659254,-0.139814051,0.792079208,0.792079208,0.674233565
Age,"Others, NASH, Cirrhosis",0.592342342,0.681978233,0.791904762,-0.149500165,-0.306526183,-0.28505486,0.791904762,0.791904762,0.688741779
eGFR,"Probable NASH, NASH",0.703883495,0.699822695,0.791666667,0.133985752,0.343555817,0.265752482,0.791666667,0.791666667,0.731790952
VFA (Volume),"Others, Probable NASH",0.847826087,0.791208791,,0.581743399,0.456692959,,0.847826087,0.791208791,0.819517439
VFA (Area),"None, NAFL",0.712142857,0.697777778,0.791139241,0.339493243,0.179441319,0.156519334,0.791139241,0.791139241,0.733686625
AST,Cirrhosis,0.69047619,0.790909091,0.54,-0.274715129,-0.392021823,-0.036341396,0.790909091,0.790909091,0.673795094
당뇨병/당뇨병 전단계 유무,Cirrhosis,0.55952381,0.713636364,0.79,0.097614113,0.32734683,0.299584693,0.79,0.79,0.687720058
SMA (Area),"Others, None, NAFL, Probable NASH",0.635652338,0.714639837,0.789473684,0.222232952,0.282731038,0.113533832,0.789473684,0.789473684,0.713255286
SMA (Area),"Others, NAFL, Probable NASH",0.75035014,0.732829917,0.7890625,0.356522596,0.32718953,0.123245723,0.7890625,0.7890625,0.757414186
Age,"Probable NASH, NASH, Cirrhosis",0.701209677,0.729654404,0.787096774,-0.183238569,-0.397752744,-0.261454631,0.787096774,0.787096774,0.739320285
VFA (Attenuation),"None, NAFL, Probable NASH",0.789803922,0.786666667,0.532,-0.39918546,-0.406311808,-0.013801311,0.789803922,0.786666667,0.702823529
Sex,"Others, NAFL, Probable NASH",0.642857143,0.667385832,0.78515625,0.236707598,0.27368458,0.141460118,0.78515625,0.78515625,0.698466408
CAP,"NAFL, Probable NASH",0.637254902,0.71588694,0.784653465,-0.04677406,0.329983456,0.136511512,0.784653465,0.784653465,0.712598436
VFA (Attenuation),"Others, None, NAFL, Probable NASH",0.707013575,0.784193642,0.542763158,-0.339140488,-0.374349416,-0.01677203,0.784193642,0.784193642,0.677990125
VFA (Volume),"Others, None, NAFL",0.680975275,0.697712418,0.783018868,0.313256734,0.156889957,0.132180931,0.783018868,0.783018868,0.720568854
Sex,"Others, None, NAFL",0.576236264,0.705882353,0.783018868,0.153317257,0.189814151,0.153573779,0.783018868,0.783018868,0.688379162
Liver (HU),"Others, None, NAFL, Probable NASH",0.672511312,0.750364538,0.782894737,0.282617073,0.329788582,0.110953426,0.782894737,0.782894737,0.735256862
Liver (HU),"Others, Probable NASH, NASH",0.705606013,0.782432432,0.681547619,0.30035384,0.486523665,0.149011142,0.782432432,0.782432432,0.723195355
Liver (HU),NASH,0.763157895,0.782051282,0.641509434,0.225685148,0.469235515,0.16549599,0.782051282,0.782051282,0.728906204
