Feature,Subgroup Range,AUC (Steatosis Above None),AUC (Steatosis Above NAFL),AUC (Steatosis Above Probable NASH),Spearman Corr (Steatosis Above None),Spearman Corr (Steatosis Above NAFL),Spearman Corr (Steatosis Above Probable NASH),Max AUC
Alb,"Others, Probable NASH",0.8357487922705313,0.8357487922705313,,0.5628348075694605,0.5628348075694605,,0.8357487922705313
CAP,"Others, Probable NASH",0.8341384863123994,0.8341384863123994,,0.5596022629872237,0.5596022629872237,,0.8341384863123994
CAP,"Others, Probable NASH, NASH",0.832987192800277,0.832987192800277,0.626207051426005,0.4633883709706604,0.4633883709706604,0.21804884852049794,0.832987192800277
LSM,"None, NAFL, Probable NASH, NASH",0.7479674796747968,0.7863159109265028,0.8325158125726088,0.28738625547350993,0.4924063015989255,0.5406582092962914,0.8325158125726088
LSM_C,"NAFL, Probable NASH, NASH, Cirrhosis",,0.7998167059439643,0.8322484554280671,,0.49018014813029015,0.5917428001410405,0.8322484554280671
CAP,"Others, NASH",0.8321190042501517,0.8321190042501517,0.8321190042501517,0.531705702538253,0.531705702538253,0.531705702538253,0.8321190042501517
VFA (Area),"Others, NASH",0.825136612021858,0.825136612021858,0.825136612021858,0.5194558827864937,0.5194558827864937,0.5194558827864937,0.825136612021858
Liver/Spleen HU,"Others, Probable NASH",0.822866344605475,0.822866344605475,,-0.5399979233084765,-0.5399979233084765,,0.822866344605475
VFA (Volume),"Others, Probable NASH, NASH",0.8220837660089997,0.8220837660089997,0.6036379968560522,0.44754893173446164,0.44754893173446164,0.17879002128752047,0.8220837660089997
VFI,"Others, Probable NASH, NASH",0.8193146417445483,0.8193146417445483,0.6171120592858746,0.44370111716823296,0.44370111716823296,0.20203466110821652,0.8193146417445483
LSM,"NAFL, Probable NASH, NASH",,0.7716019019511395,0.8180009549578227,,0.4491891802502062,0.5338006732876124,0.8180009549578227
VFA (Area),"Others, Probable NASH, NASH, Cirrhosis",0.8153676064123826,0.8153676064123826,0.548879202988792,0.4081544046276009,0.4081544046276009,0.08429464895169332,0.8153676064123826
LSM,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.5768401601478288,0.7351782752902156,0.8140864817001181,0.1088489977688714,0.40606530079401976,0.5247897486361831,0.8140864817001181
CAP,"None, NAFL, Probable NASH, NASH",0.813770325203252,0.7075689396561672,0.6361172066606429,0.36364384052380244,0.35697153615406024,0.22131794508204364,0.813770325203252
LSM_C,"None, NAFL, Probable NASH, NASH",0.7445376016260163,0.7796238606207453,0.811669033174132,0.29307070550869146,0.49728784293206285,0.5240342205365891,0.811669033174132
VFA (Area),"Others, NAFL, Probable NASH, NASH",0.8082655826558266,0.7178460169114375,0.6139974779319042,0.37204207119431226,0.3745798089335861,0.1841174897085895,0.8082655826558266
CAP,"Others, None, NAFL, Probable NASH, NASH",0.8077474892395983,0.7389235029421946,0.6704811581860762,0.4546626798729809,0.41490667040320156,0.2669251171530363,0.8077474892395983
VFI,"Others, NASH",0.8063145112325439,0.8063145112325439,0.8063145112325439,0.48938467388568824,0.48938467388568824,0.48938467388568824,0.8063145112325439
VFA (Volume),"Others, NASH",0.8026715239829993,0.8026715239829993,0.8026715239829993,0.4835644399048873,0.4835644399048873,0.4835644399048873,0.8026715239829993
CAP,"Others, NAFL, Probable NASH, NASH",0.802393857271906,0.7073876279483755,0.6372635561160152,0.36592294042026424,0.3575421458767267,0.22228220994215062,0.802393857271906
LSM,"Probable NASH, NASH, Cirrhosis",,,0.8023715415019763,,,0.4980811514347457,0.8023715415019763
LSM_C,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.580741197002361,0.7346600331674958,0.8018742621015349,0.11758175590133547,0.4165301001723507,0.5185262762947704,0.8018742621015349
Alb,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.8014834205933683,0.6475032246176524,0.5086793128131711,0.32951842647969476,0.24807922120116382,-0.01481230016497215,0.8014834205933683
Liver/Spleen HU,"Others, NAFL, Probable NASH, NASH",0.8010388437217706,0.7534490431686693,0.6926860025220681,-0.36332020578902435,-0.43579816381547976,-0.3112074383569964,0.8010388437217706
VFA (Area),"Others, NAFL, Probable NASH",0.7982740021574972,0.7430124223602483,,0.4191563172770475,0.40253824929049814,,0.7982740021574972
LSM_C,"Others, NAFL",0.7956465237166992,,,-0.49976200112323654,,,0.7956465237166992
LSM,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.6020942408376964,0.7025142146410803,0.7954108391608392,-0.1168172412780703,0.3423376699127325,0.5034386736833749,0.7954108391608392
LSM,"Others, NAFL",0.7953216374269005,,,-0.4806399186574056,,,0.7953216374269005
VFA (Area),"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.7952297847585807,0.6818585643212508,0.5637237762237762,0.3368972254188254,0.30659459837617825,0.10830617411341156,0.7952297847585807
Liver/Spleen HU,"Others, None, NAFL, Probable NASH, NASH",0.7944763271162123,0.770595361716857,0.7162018309559293,-0.43392458875318257,-0.4686849147860747,-0.33763037121663814,0.7944763271162123
Weight,"Others, NAFL",0.7936972059779077,,,0.4753085118290561,,,0.7936972059779077
CAP,"Others, Probable NASH, NASH, Cirrhosis",0.7932559425096738,0.7932559425096738,0.5583748443337484,0.3801851167954547,0.3801851167954547,0.1008422461114174,0.7932559425096738
LSM_C,"NAFL, Probable NASH, NASH",,0.7617642236432203,0.7922170937450262,,0.4468238338736448,0.5062742878347737,0.7922170937450262
CAP,"None, NAFL, Probable NASH",0.7920711974110032,0.7038378958668815,,0.3973094850961124,0.3404256863877028,,0.7920711974110032
VFA (Area),"Others, NASH, Cirrhosis",0.7916666666666666,0.7916666666666666,0.7916666666666666,0.4282715440307671,0.4282715440307671,0.4282715440307671,0.7916666666666666
Alb,"None, NAFL",0.7902046783625731,,,0.4602484819372367,,,0.7902046783625731
VFA (Area),"Others, None, NAFL, Probable NASH, NASH",0.7898134863701578,0.7366735894773279,0.6403023206301894,0.4270536756547765,0.4099306817844306,0.21910232853940376,0.7898134863701578
Alb,"Others, None, NAFL, Probable NASH",0.7886921758994861,0.7892512077294686,,0.4716362538001432,0.4595517681547728,,0.7892512077294686
CAP,"Others, None, NAFL, Probable NASH",0.7882162573767372,0.7364130434782609,,0.4713371705516448,0.3759860598087405,,0.7882162573767372
Liver/Spleen HU,"None, NAFL, Probable NASH, NASH",0.7870934959349594,0.7475481712241836,0.6872337679101588,-0.33188667508435754,-0.4246518674268608,-0.30366159777521046,0.7870934959349594
CAP,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.786758289703316,0.6577759351391192,0.561023622047244,0.3136347806452106,0.2655348962057285,0.10421425064524827,0.786758289703316
Alb,"Others, None, NAFL, Probable NASH, NASH",0.7859875657580104,0.7327362409138111,0.6060251224185651,0.42222152032308535,0.40388152181141346,0.1658900211302181,0.7859875657580104
CAP,"Others, NAFL, Probable NASH",0.7847896440129449,0.7045807453416149,,0.4015004004047582,0.3399731435543445,,0.7847896440129449
Liver/Spleen HU,"Others, Probable NASH, NASH, Cirrhosis",0.783029297954671,0.783029297954671,0.5664694894146949,-0.3663015866245954,-0.3663015866245954,-0.11462998440246193,0.783029297954671
CAP,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.7825685247921157,0.6916459369817579,0.5979929161747343,0.40027645974399967,0.3309012344423089,0.16373098425962504,0.7825685247921157
Weight,"Others, NAFL, Probable NASH",0.7813736066163252,0.6059782608695652,,0.3954930743062784,0.1755861992510807,,0.7813736066163252
VFA (Area),"Others, None, NAFL, Probable NASH",0.7806967447173043,0.7620772946859903,,0.45763595158157083,0.4155270006434134,,0.7806967447173043
VFA (Attenuation),"None, NAFL, Probable NASH, NASH",0.7804878048780488,0.7122418368524288,0.5820317542274429,-0.32425034450719525,-0.36408627831820567,-0.13304167210351345,0.7804878048780488
LSM_C,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.5930773705642816,0.7012260127931769,0.7804632867132867,-0.10954651389173259,0.34989042187420344,0.49163740904486647,0.7804632867132867
VFA (Volume),"Others, NAFL, Probable NASH, NASH",0.7802619692863595,0.7136181575433912,0.6216897856242117,0.3382448427488216,0.36731012929136125,0.19654134686812924,0.7802619692863595
CAP,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.7788442893154937,0.6596481876332624,0.564291958041958,0.31906039119183466,0.269878698997988,0.10956762244992616,0.7788442893154937
VFA (Attenuation),"None, NAFL, Probable NASH",0.7779126213592233,0.7616747181964574,,-0.37690584241027075,-0.43569598318443903,,0.7779126213592233
VFA (Area),"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.7772815932655786,0.7033927584300719,0.5931596812278631,0.39174356333121835,0.35025054528908184,0.1552418277048074,0.7772815932655786
Alb,"Others, Probable NASH, NASH",0.7767393561786085,0.7767393561786085,0.5282955311026274,0.3855228625613964,0.3855228625613964,0.04893838558095376,0.7767393561786085
Waist,"Others, Probable NASH",0.7761674718196457,0.7761674718196457,,0.4618934855232106,0.4618934855232106,,0.7761674718196457
LSM,"Others, None, NAFL, Probable NASH, NASH",0.5335963653754184,0.6939252336448598,0.7745901639344263,0.04963516350930593,0.33676600035867793,0.4299326259619662,0.7745901639344263
PT INR,"None, NAFL, Probable NASH",0.7728559870550162,0.538647342995169,,-0.37051882785974855,-0.06443081539038195,,0.7728559870550162
CAP,"Others, NASH, Cirrhosis",0.771885521885522,0.771885521885522,0.771885521885522,0.40014796941358305,0.40014796941358305,0.40014796941358305,0.771885521885522
Liver/Spleen HU,"Others, NAFL, Probable NASH",0.7705861201006832,0.7303312629399585,,-0.38024729204457897,-0.3815325259515904,,0.7705861201006832
LSM_C,"Probable NASH, NASH, Cirrhosis",,,0.7705039525691699,,,0.4611567368173345,0.7705039525691699
VFI,"Others, Probable NASH, NASH, Cirrhosis",0.7703150912106136,0.7703150912106136,0.5429638854296388,0.34984663253794357,0.34984663253794357,0.07409338570276229,0.7703150912106136
PT INR,"None, NAFL",0.7701023391812866,,,-0.427884365310075,,,0.7701023391812866
VFA (Volume),"Others, Probable NASH, NASH, Cirrhosis",0.7694859038142621,0.7694859038142621,0.5289539227895392,0.3487734833583794,0.3487734833583794,0.04993249906055719,0.7694859038142621
VFA (Area),"None, NAFL, Probable NASH, NASH",0.7690548780487806,0.7020883812161071,0.601006841357945,0.31103361850826067,0.3466687232804226,0.16381606360503423,0.7690548780487806
Weight,"Others, NAFL, Probable NASH, NASH",0.7677280939476062,0.5831664441477525,0.5293190416141236,0.32316600420882335,0.14302355917106196,0.04736028201368764,0.7677280939476062
VFA (Volume),"Others, NAFL, Probable NASH",0.7669902912621359,0.7375776397515528,,0.37519417188451804,0.39353579643096626,,0.7669902912621359
Liver/Spleen HU,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.7667248400232693,0.6879886282871357,0.590034965034965,-0.3043692174473525,-0.3169292477596449,-0.1530251842754649,0.7667248400232693
Weight,"Others, Probable NASH",0.7661030595813205,0.7661030595813205,,0.44521519075404997,0.44521519075404997,,0.7661030595813205
BMI,"Others, Probable NASH",0.7661030595813204,0.7661030595813204,,0.4450674983879159,0.4450674983879159,,0.7661030595813204
Waist,"Others, Probable NASH, NASH",0.765662859120803,0.765662859120803,0.5782618459465529,0.3691497099475543,0.3691497099475543,0.13501261629187625,0.765662859120803
Waist to Height,"Others, NASH",0.7650273224043717,0.7650273224043717,0.7650273224043717,0.4234220221032764,0.4234220221032764,0.4234220221032764,0.7650273224043717
BMI,"Others, Probable NASH, NASH",0.7632398753894082,0.7632398753894082,0.589041095890411,0.3657846965919784,0.3657846965919784,0.1536090942900426,0.7632398753894082
VFI,"Others, NAFL, Probable NASH, NASH",0.762646793134598,0.7256341789052069,0.6407313997477931,0.3169852958234323,0.3879713240640003,0.2272954850827277,0.762646793134598
Liver/Spleen HU,"Others, None, NAFL, Probable NASH",0.762611840852846,0.748792270531401,,-0.42815109881775304,-0.39446341996563666,,0.762611840852846
Liver/Spleen HU,"Others, NASH, Cirrhosis",0.7622053872053872,0.7622053872053872,0.7622053872053872,-0.38501179210846737,-0.38501179210846737,-0.38501179210846737,0.7622053872053872
VFA (Volume),"Others, None, NAFL, Probable NASH, NASH",0.7620755619320899,0.728625822083766,0.6444539067489887,0.38618055158220715,0.3959915397712854,0.22558562961151052,0.7620755619320899
BMI,"Others, NASH",0.7610807528840315,0.7610807528840315,0.7610807528840315,0.41712044163909884,0.41712044163909884,0.41712044163909884,0.7610807528840315
VFA (Area),"None, NAFL, Probable NASH",0.7609223300970874,0.7292002147074611,,0.3538635638349703,0.3816249945020625,,0.7609223300970874
Liver/Spleen HU,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.7609075043630018,0.7073659480375898,0.6157762691853601,-0.36861016492146825,-0.3570924626851901,-0.19293019889796162,0.7609075043630018
LSM_C,"Others, None, NAFL, Probable NASH, NASH",0.5374222859875658,0.6928868120456906,0.7599531615925059,0.05697611909632933,0.3451928889326317,0.4194458678680855,0.7599531615925059
Liver (PDFF),"Others, Probable NASH",0.7592592592592592,0.7592592592592592,,0.4336142925319937,0.4336142925319937,,0.7592592592592592
Waist,"Others, Probable NASH, NASH, Cirrhosis",0.7587064676616916,0.7587064676616916,0.564134495641345,0.3348225440240442,0.3348225440240442,0.11060316996209442,0.7587064676616916
Waist,"Others, NASH",0.7577413479052824,0.7577413479052824,0.7577413479052824,0.4117815541416743,0.4117815541416743,0.4117815541416743,0.7577413479052824
PT INR,"None, NAFL, Probable NASH, NASH",0.757494918699187,0.5266528210453444,0.5078094746353428,-0.297987459168179,-0.04576983645377047,-0.012679156886614248,0.757494918699187
VFA (Area),"None, NAFL, Probable NASH, NASH, Cirrhosis",0.7570898778359512,0.666067809102635,0.5509574087329993,0.2804557020592569,0.2787644294387849,0.086797561400625,0.7570898778359512
VFI,"Others, None, NAFL, Probable NASH, NASH",0.7556193208990912,0.7399619245413638,0.6627634660421545,0.3766669795997988,0.4156262451876511,0.25417864972439175,0.7556193208990912
SMA (Area),"Others, NAFL",0.7550357374918778,,,0.4126315821896997,,,0.7550357374918778
Liver/Spleen HU,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.7543630017452007,0.6821448313985627,0.5846456692913387,-0.27748090783812274,-0.3057515176901385,-0.14417992677534733,0.7543630017452007
Weight,"Others, Probable NASH, NASH",0.7538940809968847,0.7538940809968847,0.5668088928812037,0.3528576602325229,0.3528576602325229,0.11527465344857328,0.7538940809968847
VFI,"Others, None, NAFL, Probable NASH",0.7323434228060156,0.7538244766505636,,0.3788027662972581,0.4024420490102491,,0.7538244766505636
Liver/Spleen HU,"None, NAFL, Probable NASH",0.7536407766990292,0.7241009125067095,,-0.34398830158841304,-0.3731345086759042,,0.7536407766990292
Weight,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.7535388791933294,0.5564143567874912,0.5055944055944056,0.28936205170481344,0.09512181455594569,-0.009509669091353732,0.7535388791933294
Waist,"Others, NAFL, Probable NASH, NASH",0.7529358626919603,0.6458055184690699,0.5786885245901638,0.30526542061999606,0.2507084019221327,0.12709000336821208,0.7529358626919603
LSM,"Probable NASH, NASH",,,0.7528510334996437,,,0.4341674415374174,0.7528510334996437
VFA (Attenuation),"Others, None, NAFL, Probable NASH",0.6975061869407957,0.7526167471819646,,-0.3220056288680093,-0.40052717803954213,,0.7526167471819646
Waist to Height,"Others, Probable NASH, NASH",0.7525095188646591,0.7525095188646591,0.609925892656636,0.35087259075796856,0.35087259075796856,0.18963751987051194,0.7525095188646591
LSM,"Others, NAFL, Probable NASH, NASH",0.6569557362240289,0.657543391188251,0.7523959646910466,-0.18992774558923828,0.2716058603022331,0.4087204949217864,0.7523959646910466
Liver (HU),"None, NAFL, Probable NASH, NASH",0.7520325203252032,0.6840890734971732,0.6545759648896348,0.29135538202095806,0.31579214844071607,0.2506961484562664,0.7520325203252032
VFA (Volume),"Others, None, NAFL, Probable NASH",0.7477631829430801,0.751207729468599,,0.4039424828643028,0.39829316190705066,,0.751207729468599
LSM,"Others, NAFL, Probable NASH",0.7511686443725278,0.5320910973084887,,-0.35410542781032084,0.0533297802389411,,0.7511686443725278
SMA (Area),"Others, NAFL, Probable NASH",0.7508090614886731,0.5967908902691511,,0.35245513116424426,0.16032939854594921,,0.7508090614886731
Alb,"Others, NAFL, Probable NASH",0.7333692916217188,0.7501293995859213,,0.32875343362418097,0.4153453900690682,,0.7501293995859213
Waist,"Others, NAFL, Probable NASH",0.7500898957209637,0.6579968944099378,,0.3514449870585277,0.26171452266569,,0.7500898957209637
Waist,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.7498545666084934,0.634639303482587,0.5632867132867132,0.2851180299864562,0.22698790834803548,0.10756336456070009,0.7498545666084934
Waist,"Others, NASH, Cirrhosis",0.7495791245791246,0.7495791245791246,0.7495791245791246,0.3664718984274818,0.3664718984274818,0.3664718984274818,0.7495791245791246
VFA (Volume),"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.7492728330424666,0.6572494669509594,0.5432692307692308,0.28445411052604275,0.26510622331501493,0.07354122933626711,0.7492728330424666
Waist,"Others, None, NAFL, Probable NASH, NASH",0.748206599713056,0.6705174800969192,0.6051735150095806,0.3657440999519197,0.2953450282613345,0.16424367673975002,0.748206599713056
VFA (Area),"Others, NAFL",0.7478882391163093,,,0.40106738498183553,,,0.7478882391163093
VFI,"None, NAFL, Probable NASH, NASH",0.7477134146341463,0.713511018806969,0.6322447398993158,0.2863623966435828,0.3662634726979286,0.2144786673014155,0.7477134146341463
CAP,"None, NAFL",0.7470760233918129,,,0.3930327032612714,,,0.7470760233918129
SMI,"Others, Probable NASH",0.7463768115942029,0.7463768115942029,,0.4120682407291617,0.4120682407291617,,0.7463768115942029
Waist to Height,"Others, NASH, Cirrhosis",0.7462121212121212,0.7462121212121212,0.7462121212121212,0.36152792677921897,0.36152792677921897,0.36152792677921897,0.7462121212121212
CAP,"Others, None, NAFL",0.7459580323357413,,,0.42746431868753115,,,0.7459580323357413
SMA (Area),"Others, Probable NASH",0.745571658615137,0.745571658615137,,0.4107216124914847,0.4107216124914847,,0.745571658615137
Waist,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.745508674674058,0.6604823106688779,0.5911304604486423,0.34685476923606395,0.27635702104090115,0.15186032254688092,0.745508674674058
Waist,"Others, None, NAFL, Probable NASH",0.7450980392156864,0.6824677938808373,,0.3995976749143559,0.2893053268055631,,0.7450980392156864
CAP,"Others, NAFL",0.7449642625081222,,,0.39868465901309563,,,0.7449642625081222
Weight,"Others, NASH",0.7446873102610808,0.7446873102610808,0.7446873102610808,0.3910152472563127,0.3910152472563127,0.3910152472563127,0.7446873102610808
BMI_C,"Others, Probable NASH",0.7439613526570048,0.7439613526570048,,0.4337528390146704,0.4337528390146704,,0.7439613526570048
BMI,"Others, NAFL, Probable NASH, NASH",0.743676603432701,0.6475300400534045,0.5883984867591425,0.29409128550222385,0.25367432259601685,0.14277295274624643,0.743676603432701
TFI,"None, NAFL, Probable NASH, NASH",0.7436483739837398,0.6958578516210915,0.6277268620111011,0.28166311628840607,0.3359806781436011,0.2071514312296248,0.7436483739837398
LSM_C,"Others, NAFL, Probable NASH",0.7434376123696512,0.5392080745341614,,-0.35478147571774066,0.06735453396688838,,0.7434376123696512
Height,"Others, NAFL",0.7430149447693307,,,0.393439717856411,,,0.7430149447693307
Waist,"None, NAFL, Probable NASH, NASH",0.7428861788617886,0.6388023537556248,0.5727378340002581,0.28078212799562374,0.23810600194240603,0.11796855401891868,0.7428861788617886
Liver (PDFF),"Others, Probable NASH, NASH",0.7428175839390793,0.7428175839390793,0.5966763979339771,0.33740523977616854,0.33740523977616854,0.16678029071349415,0.7428175839390793
VFA (Attenuation),"None, NAFL, Probable NASH, NASH, Cirrhosis",0.742801047120419,0.6441404090657822,0.5011184681460272,-0.26486821925494525,-0.24195669894978028,0.0019051264574325064,0.742801047120419
SMA (Area),"Others, NAFL, Probable NASH, NASH",0.742773261065944,0.5696484201157098,0.514249684741488,0.29300016595889056,0.11975840673770426,0.023014686213573686,0.742773261065944
Waist to Height,"Others, Probable NASH, NASH, Cirrhosis",0.7426755113322278,0.7426755113322278,0.5909090909090909,0.31407499321913546,0.31407499321913546,0.15677730887830857,0.7426755113322278
VFA (Volume),"None, NAFL, Probable NASH, NASH",0.7416158536585367,0.6974731741086881,0.61081709048664,0.27931347611081764,0.33875165280870295,0.17972663336092257,0.7416158536585367
Liver (HU),"None, NAFL, Probable NASH, NASH, Cirrhosis",0.7408376963350786,0.6479638842822922,0.5909985683607731,0.2627263484161986,0.24837477865976856,0.15500104178702775,0.7408376963350786
Waist,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.7406195462478184,0.6277409250046067,0.557444523979957,0.26248845088787476,0.2144282282479197,0.09784729485373354,0.7406195462478184
VFI,"Others, NAFL, Probable NASH",0.7367853290183387,0.740424430641822,,0.33274796254000694,0.3982513669764353,,0.740424430641822
Waist,"None, NAFL, Probable NASH",0.7394822006472492,0.6512345679012346,,0.3247868784785773,0.2518103037137703,,0.7394822006472492
Alb,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.7391951545015913,0.6601022664455499,0.514905548996458,0.3385066742943864,0.2761689466930342,0.024880709446732884,0.7391951545015913
BMI,"Others, Probable NASH, NASH, Cirrhosis",0.738391376451078,0.738391376451078,0.5461550435865505,0.30853149812249386,0.30853149812249386,0.0795969848778033,0.738391376451078
BMI_C,"Others, Probable NASH, NASH",0.7377985462097612,0.7377985462097612,0.5838760386256456,0.3511975513524245,0.3511975513524245,0.15379165540085143,0.7377985462097612
Weight,"Others, Probable NASH, NASH, Cirrhosis",0.7364566058595909,0.7364566058595909,0.536659402241594,0.30607368496631154,0.30607368496631154,0.06323076045446474,0.7364566058595909
VFI,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.7362807834012023,0.6735963041933191,0.5647727272727273,0.2696284198179565,0.2926652883375927,0.11008899179429077,0.7362807834012023
SMA (Area),"Others, Probable NASH, NASH",0.7362409138110073,0.7362409138110073,0.5535593981585449,0.32826668018137567,0.32826668018137567,0.09239744328726682,0.7362409138110073
Waist to Height,"Others, Probable NASH",0.7359098228663447,0.7359098228663447,,0.3945620736393607,0.3945620736393607,,0.7359098228663447
TFI,"Others, Probable NASH",0.7359098228663445,0.7359098228663445,,0.3945620736393607,0.3945620736393607,,0.7359098228663445
SMI,"Others, Probable NASH, NASH",0.7358947732779508,0.7358947732779508,0.5569279137660004,0.3277857033605971,0.3277857033605971,0.09820860324244082,0.7358947732779508
VFI,"Others, NASH, Cirrhosis",0.7356902356902356,0.7356902356902356,0.7356902356902356,0.3460780153783976,0.3460780153783976,0.3460780153783976,0.7356902356902356
Spleen (Volume),"Others, Cirrhosis",0.7352537722908092,0.7352537722908092,0.7352537722908092,0.4075413724799513,0.4075413724799513,0.4075413724799513,0.7352537722908092
LSM_C,"Others, NAFL, Probable NASH, NASH",0.646680216802168,0.655985758789497,0.7349936948297604,-0.18274461496883043,0.27687626047271996,0.3917978444943085,0.7349936948297604
SMA (Area),"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.734535582703122,0.5544598436389482,0.5016608391608391,0.26763690912582544,0.09181362423282718,-0.0028227946613920713,0.734535582703122
Waist to Height,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.7345113438045374,0.6823290952644188,0.6174838940586972,0.2558250222349759,0.30606082625633996,0.20011442268079394,0.7345113438045374
VFA (Volume),"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.7340108818396468,0.6751658374792703,0.5686245572609209,0.33061061221266447,0.3016425834411719,0.11435633204276884,0.7340108818396468
BMI,"Others, NAFL, Probable NASH",0.7333692916217188,0.6530797101449275,,0.327948841911063,0.25357012768922754,,0.7333692916217188
SFA (Attenuation),"None, NAFL, Probable NASH",0.7002427184466019,0.7332259796027911,,-0.271569711780326,-0.3883280096279769,,0.7332259796027911
BMI_C,"Others, NASH",0.7331511839708562,0.7331511839708562,0.7331511839708562,0.3949942939799385,0.3949942939799385,0.3949942939799385,0.7331511839708562
Alb,"Others, NAFL, Probable NASH, NASH",0.7329494128274616,0.6920338228749443,0.5634300126103405,0.28178752312224387,0.3309524442947396,0.10268044091103969,0.7329494128274616
LSM_C,"Others, Cirrhosis",0.7325102880658437,0.7325102880658437,0.7325102880658437,0.4567754271517604,0.4567754271517604,0.4567754271517604,0.7325102880658437
Alb,"Others, NASH",0.7322404371584699,0.7322404371584699,0.7322404371584699,0.37183969935190636,0.37183969935190636,0.37183969935190636,0.7322404371584699
Waist to Height,"None, NAFL, Probable NASH, NASH",0.7317073170731707,0.6910118841583016,0.6346973021814896,0.2678589802450744,0.3276677541482955,0.21845630974038752,0.7317073170731707
Waist,"Others, Cirrhosis",0.7311385459533608,0.7311385459533608,0.7311385459533608,0.4004123688797189,0.4004123688797189,0.4004123688797189,0.7311385459533608
LSM,"Others, Cirrhosis",0.7311385459533607,0.7311385459533607,0.7311385459533607,0.4016929065391256,0.4016929065391256,0.4016929065391256,0.7311385459533607
Liver (PDFF),"Others, NASH",0.7304189435336976,0.7304189435336976,0.7304189435336976,0.36812979928566636,0.36812979928566636,0.36812979928566636,0.7304189435336976
VFI,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.7302125038497074,0.6898839137645109,0.5887691853600944,0.32524426316600136,0.32698769991966087,0.1479254488682268,0.7302125038497074
SMA (Area),"Others, NASH",0.7292046144505161,0.7292046144505161,0.7292046144505161,0.36618972129206606,0.36618972129206606,0.36618972129206606,0.7292046144505161
Waist,"Others, NAFL",0.7290448343079922,,,0.37057995597928445,,,0.7290448343079922
