Feature,Subgroup Range,AUC (Advanced Fibrosis >1),AUC (Significant Fibrosis >2),Spearman Corr (Advanced Fibrosis >1),Spearman Corr (Significant Fibrosis >2),Max AUC
LSM_plus_Liver/Spleen HU,"NAFL, Probable NASH",0.7495987158908507,0.8933333333333333,0.2963297368532235,0.22913701302728215,0.8933333333333333
LSM_plus_Liver/Spleen HU,"None, NAFL, Probable NASH",0.7635903919089759,0.8924731182795699,0.2859783664213849,0.2064817876293981,0.8924731182795699
Waist,"Others, NAFL",0.5762962962962963,0.891566265060241,-0.08175182502280073,-0.1471249840501255,0.891566265060241
VFA (Attenuation),"Others, NAFL",0.6444444444444445,0.891566265060241,0.15477287261598197,0.1471249840501255,0.891566265060241
Height,"Others, NAFL",0.6274074074074074,0.891566265060241,-0.13660684854892857,0.14722115563142635,0.891566265060241
Waist,"Others, None, NAFL",0.5521885521885521,0.8878504672897196,-0.04996887663867643,-0.1286890791016107,0.8878504672897196
LSM,"None, NAFL, Probable NASH",0.77275600505689,0.8817204301075269,0.2968548111952526,0.20145748411715733,0.8817204301075269
LSM_plus_Liver/Spleen HU,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.8513588979895755,0.8816425120772946,0.5868009616696885,0.5733547628467391,0.8816425120772946
Spleen (HU),"Others, None",0.691304347826087,0.88,-0.1971027608324125,0.1825460953377993,0.88
Liver (HU),"Others, None",0.5608695652173913,0.88,-0.06271451481031307,0.1825460953377993,0.88
Height,"Others, None",0.6499999999999999,0.88,-0.1547847968417226,0.18282758524338147,0.88
Waist to Height,"Others, None",0.5869565217391304,0.88,-0.08959216401473297,-0.1825460953377993,0.88
SFA (Area),"Others, NAFL",0.5585185185185185,0.8795180722891566,-0.06270285608544911,-0.14259806146396778,0.8795180722891566
Glucose,"Others, NAFL",0.5703703703703704,0.8795180722891566,0.0754277560191157,-0.1426464513271567,0.8795180722891566
LSM_C,"Others, None, NAFL",0.7390572390572391,0.8785046728971964,0.24167070922757056,0.132600877952895,0.8785046728971964
VFA (Area),"Others, None, NAFL",0.5510662177328844,0.8785046728971962,-0.04889427714107048,-0.12558813743651162,0.8785046728971962
LSM,"NAFL, Probable NASH",0.7548154093097913,0.8766666666666666,0.30352231975940824,0.22015256025726426,0.8766666666666666
FIB-4_plus_Liver/Spleen HU,Probable NASH,0.6972222222222222,0.875968992248062,0.2818658981763625,0.3216490852420621,0.875968992248062
LSM,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.8493577810871185,0.8737635150678628,0.5849807738327005,0.5629825005189636,0.8737635150678628
LSM_plus_Liver/Spleen HU,"NAFL, Probable NASH, NASH, Cirrhosis",0.8388336347197107,0.8706407137064072,0.5780591497034019,0.5781938862182711,0.8706407137064072
Height,"Others, None, NAFL",0.6430976430976431,0.8691588785046729,-0.13710289711834062,0.12256896137438476,0.8691588785046729
SFA (Area),"Others, None, NAFL",0.5387205387205387,0.8691588785046729,-0.037073682667405086,-0.1224871957714126,0.8691588785046729
LSM_minus_Liver/Spleen HU,"None, NAFL, Probable NASH",0.7692793931731985,0.8682795698924731,0.29215056138011986,0.1937534582549831,0.8682795698924731
TFI,"Others, NAFL",0.5111111111111111,0.8674698795180723,-0.011905605585844765,-0.13807113887781008,0.8674698795180723
VFI,"Others, NAFL",0.56,0.8674698795180723,-0.06429027016356173,-0.13807113887781008,0.8674698795180723
PT INR,"Others, NAFL",0.5703703703703703,0.8674698795180722,0.07547556325043017,0.13820553378858755,0.8674698795180722
LSM_C,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.8342330603127327,0.8643892339544513,0.5758810811309162,0.5647753859125949,0.8643892339544513
LSM_C,"None, NAFL, Probable NASH",0.7534766118836915,0.8615591397849462,0.29120339638200504,0.20142163517383857,0.8615591397849462
LSM,"NAFL, Probable NASH, NASH, Cirrhosis",0.8351039783001808,0.8614490402811571,0.5732019718599926,0.5653400779528654,0.8614490402811571
LSM_minus_Liver/Spleen HU,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.8417721518987342,0.8607085346215781,0.5707902334439992,0.5419049235344707,0.8607085346215781
LSM,"Others, None, NAFL",0.7620650953984287,0.8598130841121496,0.2521792198343544,0.11998586992739883,0.8598130841121496
LSM_minus_Liver/Spleen HU,"Others, None, NAFL",0.7620650953984287,0.8598130841121495,0.25091898269098806,0.11938625410631352,0.8598130841121495
LSM_plus_Liver/Spleen HU,"Others, None, NAFL",0.7530864197530864,0.8598130841121495,0.2423221867101405,0.11938625410631352,0.8598130841121495
LSM_minus_Liver/Spleen HU,"NAFL, Probable NASH",0.745585874799358,0.8566666666666666,0.29156559317391123,0.20777678299931515,0.8566666666666666
FIB-4,Probable NASH,0.7166666666666667,0.8527131782945736,0.30965549377121515,0.30175326553636755,0.8527131782945736
Glucose,"Others, None, NAFL",0.5662177328843996,0.8504672897196262,0.06341889398096609,-0.11631745275415858,0.8504672897196262
FIB-4_plus_Liver/Spleen HU,"NAFL, Probable NASH",0.6565008025682183,0.85,0.1858016034931787,0.20389310481241207,0.85
Age,"Others, NAFL",0.7229629629629629,0.8493975903614458,0.23903654168533772,-0.13135258834677238,0.8493975903614458
LSM_C,"Others, NAFL",0.7081481481481482,0.8493975903614458,0.2330212797167315,0.13716082759956316,0.8493975903614458
LSM_C,"NAFL, Probable NASH, NASH, Cirrhosis",0.8162861663652803,0.8492160043254934,0.5565610602273031,0.5619030194008403,0.8492160043254934
FIB-4_plus_Liver/Spleen HU,"None, NAFL, Probable NASH",0.6542351453855877,0.8467741935483871,0.16733506332570244,0.1824393876999476,0.8467741935483871
LSM_plus_Liver/Spleen HU,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.8281344183242918,0.8457948468643657,0.5411266683179239,0.5019952756494521,0.8457948468643657
LSM_C,"NAFL, Probable NASH",0.7323434991974318,0.845,0.28925608304060635,0.21075247156397742,0.845
LSM_minus_Liver/Spleen HU,"NAFL, Probable NASH, NASH, Cirrhosis",0.8228978300180833,0.8449580967829143,0.5508722450642491,0.5381293937377928,0.8449580967829143
Spleen (HU),"Others, None, NAFL",0.5016835016835017,0.8411214953271028,0.001611899246408917,0.11318437077611543,0.8411214953271028
LSM,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.8282851115129596,0.8403986387943607,0.5428174181527023,0.49547798683778255,0.8403986387943607
Glucose,"Others, None",0.5565217391304348,0.84,0.05827051259753739,-0.1634305805519236,0.84
SFA (Area),"Others, None",0.6478260869565218,0.84,-0.152306678825046,-0.16333071688118886,0.84
LSM_plus_Liver/Spleen HU,Probable NASH,0.8055555555555556,0.8372093023255813,0.43669364506197006,0.2884893857325712,0.8372093023255813
Age,"Others, None, NAFL",0.7121212121212123,0.8364485981308412,0.20317916622358126,-0.11167779578326519,0.8364485981308412
LSM_C,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.8176612417118746,0.8358288770053476,0.5399771742239929,0.5025313630856705,0.8358288770053476
TFI,"Others, None, NAFL",0.5252525252525253,0.8317757009345794,0.024178488696133756,-0.11008342911101637,0.8317757009345794
Liver (HU),"Others, None, NAFL",0.5409652076318744,0.8317757009345794,-0.03922288166261698,0.11008342911101637,0.8317757009345794
LSM,"None, NAFL, Probable NASH, NASH",0.8054298642533937,0.8314929836668967,0.47448921566796204,0.4037503219744376,0.8314929836668967
Spleen (HU),"Others, NAFL",0.5096296296296297,0.8313253012048193,-0.01031819150773213,0.12449037111933696,0.8313253012048193
LSM_plus_Liver/Spleen HU,"Others, NAFL",0.7214814814814815,0.8313253012048193,0.23731840467783896,0.12449037111933696,0.8313253012048193
Liver (HU),"Others, NAFL",0.5896296296296297,0.8313253012048193,-0.09603855172581445,0.12449037111933696,0.8313253012048193
LSM_minus_Liver/Spleen HU,"Others, NAFL",0.7274074074074074,0.8313253012048193,0.24366806099028954,0.12449037111933696,0.8313253012048193
LSM,"Others, NAFL",0.7288888888888889,0.8313253012048192,0.24670721868717985,0.12522726843761847,0.8313253012048192
Alb,"Others, NAFL",0.597037037037037,0.8313253012048192,-0.1042578390857327,-0.12482827047051244,0.8313253012048192
LSM_plus_Liver/Spleen HU,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.812633262260128,0.8312325711098717,0.5270671185568008,0.4983642506318803,0.8312325711098717
FIB-4,"None, NAFL, Probable NASH",0.6807838179519595,0.8306451612903225,0.1961386397997988,0.17395383478367096,0.8306451612903225
LSM_minus_Liver/Spleen HU,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.8244424352019288,0.8303354399611085,0.535038216711132,0.47955263574272844,0.8303354399611085
FIB-4,"NAFL, Probable NASH",0.6757624398073836,0.8300000000000001,0.20866949315387764,0.1922420702517028,0.8300000000000001
LSM_plus_Liver/Spleen HU,"Others, None, NAFL, Probable NASH",0.7746588693957115,0.83,0.31290778710832945,0.1818312915749801,0.83
LSM_minus_Liver/Spleen HU,"None, NAFL, Probable NASH, NASH",0.8061368778280543,0.8295376121463078,0.47437925898015426,0.40034898170901956,0.8295376121463078
FIB-4_minus_Liver/Spleen HU,Probable NASH,0.7083333333333334,0.8294573643410853,0.2977456670877069,0.28185744583067296,0.8294573643410853
LSM_plus_Liver/Spleen HU,"None, NAFL, Probable NASH, NASH",0.7987839366515836,0.8279273061881758,0.4629853922517625,0.39839265160642756,0.8279273061881758
LSM,"Others, None, NAFL, Probable NASH",0.7855750487329435,0.8266666666666667,0.326359900716907,0.18055656927911207,0.8266666666666667
LSM,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.8117892679459844,0.8250976017847182,0.527060343302801,0.490451479243336,0.8250976017847182
LSM_C,"None, NAFL, Probable NASH, NASH",0.78789592760181,0.8227513227513228,0.46249374570925167,0.40650142038614945,0.8227513227513228
eGFR,"Others, None, NAFL",0.5847362514029181,0.822429906542056,-0.08113226206924881,0.10698248744591732,0.822429906542056
LSM_plus_Liver/Spleen HU,"Probable NASH, NASH, Cirrhosis",0.8155932203389831,0.8222222222222223,0.5427279910934982,0.5475140649797032,0.8222222222222223
LSM,Probable NASH,0.8138888888888889,0.8217054263565893,0.44899129746966127,0.2754634433008043,0.8217054263565893
TG,"Others, None",0.5956521739130435,0.8200000000000001,-0.09905239144922759,0.1545045178010508,0.8200000000000001
LSM_minus_Liver/Spleen HU,"Others, None, NAFL, Probable NASH",0.7867446393762183,0.8200000000000001,0.3266766180527698,0.17632125243634433,0.8200000000000001
Sex,"Others, None",0.5956521739130435,0.8200000000000001,-0.11766220120615349,0.1835325870964494,0.8200000000000001
SMA (Attenuation),"Others, None",0.6956521739130435,0.8200000000000001,-0.20158236903314913,0.15372302765288362,0.8200000000000001
Age,"Others, None",0.7673913043478262,0.82,0.27560192547847434,-0.15378218602630805,0.82
CAP,"Others, NAFL",0.54,0.8192771084337349,-0.04311410372447939,-0.12067416772508385,0.8192771084337349
LSM_C,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.7988628287135751,0.8187953151143336,0.5196606530617308,0.49470120401254786,0.8187953151143336
LSM_C,"Others, None, NAFL, Probable NASH",0.7746588693957115,0.8174999999999999,0.32653817463538365,0.18256436158805647,0.8174999999999999
Liver (PDFF),"Others, None",0.8173913043478261,0.76,0.32701139865377526,0.12489995996796795,0.8173913043478261
SBP,"None, NAFL, Probable NASH",0.650126422250316,0.8172043010752688,0.1629573434579465,0.16696448380948625,0.8172043010752688
FIB-4_minus_Liver/Spleen HU,"None, NAFL, Probable NASH",0.7016434892541088,0.8172043010752688,0.21877002131516016,0.1668825406867738,0.8172043010752688
PLT,"Others, Cirrhosis",0.8068181818181819,0.8159340659340659,-0.522362360334697,-0.546973895998263,0.8159340659340659
LSM_plus_Liver/Spleen HU,"Others, NAFL, Probable NASH",0.7558084400189663,0.8154761904761905,0.3130496908201419,0.1887304503158328,0.8154761904761905
LSM,"NAFL, Probable NASH, NASH",0.7868303571428572,0.8148148148148147,0.4635568040733575,0.4054753808659461,0.8148148148148147
FIB-4_minus_Liver/Spleen HU,"NAFL, Probable NASH",0.6821829855537721,0.8133333333333334,0.21629212304077725,0.1825328747844451,0.8133333333333334
LSM_plus_Liver/Spleen HU,"NAFL, Probable NASH, NASH",0.782451923076923,0.8131927547985942,0.45531301832538273,0.40235436869436175,0.8131927547985942
VFA (Attenuation),"Others, None, NAFL",0.5914702581369249,0.8130841121495327,0.0875798590548845,0.10388154578081826,0.8130841121495327
LSM_minus_Liver/Spleen HU,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.8049040511727079,0.8126045733407697,0.5140364736819949,0.4703370306098146,0.8126045733407697
LSM,"Probable NASH, NASH, Cirrhosis",0.8094915254237288,0.8118055555555556,0.5330210254870693,0.530596845558551,0.8118055555555556
LSM_minus_Liver/Spleen HU,Probable NASH,0.8111111111111111,0.8062015503875968,0.44463352951764223,0.2619616261249784,0.8111111111111111
LSM,"Others, NAFL, Probable NASH",0.7652916073968705,0.8095238095238095,0.3257080322252359,0.18577017828324338,0.8095238095238095
LSM_minus_Liver/Spleen HU,"NAFL, Probable NASH, NASH",0.7822802197802198,0.8088672614220059,0.45503623229600565,0.3967974676161487,0.8088672614220059
eGFR,"Others, NAFL",0.5777777777777778,0.8072289156626506,-0.08333923910091337,0.11543652594702154,0.8072289156626506
Spleen (HU),Probable NASH,0.7277777777777777,0.806201550387597,-0.32553526268255945,-0.2619616261249784,0.806201550387597
SFA (Volume),Probable NASH,0.5361111111111111,0.8062015503875969,-0.05160924896186919,-0.2619616261249784,0.8062015503875969
PT INR,"Others, None, NAFL",0.5022446689113356,0.8037383177570094,0.0021511518972421313,0.10087217992923164,0.8037383177570094
VFI,"Others, None, NAFL",0.5286195286195287,0.8037383177570093,-0.027402287188951588,-0.10078060411571922,0.8037383177570093
LSM_C,"NAFL, Probable NASH, NASH",0.7657108516483516,0.8034603947012707,0.44321729508653973,0.40340465786117846,0.8034603947012707
SBP,"NAFL, Probable NASH",0.6348314606741573,0.8033333333333332,0.16017156852352352,0.17681370841090638,0.8033333333333332
FIB-4_C,"None, NAFL, Probable NASH",0.7202907711757268,0.8024193548387096,0.27694995197046296,0.1843668365043159,0.8024193548387096
Waist,"Others, None",0.6217391304347826,0.8,-0.12542902962062613,-0.1441153384245784,0.8
LSM_minus_Liver/Spleen HU,"Others, NAFL, Probable NASH",0.7638691322901849,0.7996031746031745,0.32291409256980347,0.17923457860182862,0.7996031746031745
CAP,"None, NAFL",0.7987012987012987,,0.22545896341993454,,0.7987012987012987
ALT,"None, NAFL",0.7987012987012987,,0.2242485532900416,,0.7987012987012987
Liver/Spleen Volume,Probable NASH,0.55,0.7984496124031008,-0.07145896010104966,-0.2553296862230802,0.7984496124031008
LSM_C,Probable NASH,0.7958333333333334,0.7635658914728682,0.4348884368421645,0.23193354442223582,0.7958333333333334
Sex,"Others, NAFL",0.6088888888888888,0.7951807228915663,-0.13662601021279464,0.12987482388637944,0.7951807228915663
VFA (Volume),"Others, NAFL",0.5896296296296297,0.7951807228915663,-0.09603855172581445,-0.11090960336086385,0.7951807228915663
FIB-4_C,"NAFL, Probable NASH",0.7154895666131621,0.7949999999999999,0.29107455541623334,0.195524695071021,0.7949999999999999
LSM_C,"Probable NASH, NASH, Cirrhosis",0.7856497175141243,0.794675925925926,0.5091492713607556,0.5189687656067474,0.794675925925926
CAP,"Others, None, NAFL",0.5022446689113356,0.794392523364486,-0.002159769912961142,-0.09816010361955832,0.794392523364486
T.bil,"Others, None, NAFL",0.5555555555555556,0.794392523364486,-0.0533341154929509,0.09793939457971171,0.794392523364486
LSM_minus_Liver/Spleen HU,"Others, None, NAFL, Probable NASH, NASH",0.7934710193204529,0.7941176470588236,0.44873304515156465,0.34290811480635575,0.7941176470588236
LSM_C,"Others, Cirrhosis",0.7940340909090909,0.7239010989010989,0.5676502192286851,0.4395605506625586,0.7940340909090909
LSM_C,"Others, NAFL, Probable NASH",0.752963489805595,0.7936507936507937,0.3210472065716197,0.18218776525965238,0.7936507936507937
LSM,"Others, None, NAFL, Probable NASH, NASH",0.7886964246058183,0.79268525592055,0.4425858508231904,0.34212972893418736,0.79268525592055
LSM_plus_Liver/Spleen HU,"Others, Cirrhosis",0.7926136363636364,0.7307692307692307,0.4981409380880903,0.3994982999642969,0.7926136363636364
LSM_minus_Liver/Spleen HU,"Others, Probable NASH",0.7919540229885058,0.7065217391304348,0.4086792665169251,0.162827902920377,0.7919540229885058
LSM_C,"Others, None, NAFL, Probable NASH, NASH",0.7764823451032645,0.7918258212375859,0.4368063210458271,0.3515435013500618,0.7918258212375859
Liver/Spleen HU,"NASH, Cirrhosis",0.7899665551839465,0.7737148913619502,0.44137171562715916,0.46808030616103,0.7899665551839465
BMI,"Others, NAFL",0.54,0.7891566265060241,-0.042860614054885324,-0.10864724207580444,0.7891566265060241
LSM_minus_Liver/Spleen HU,"Probable NASH, NASH, Cirrhosis",0.7875706214689265,0.7891203703703703,0.4945373209212148,0.4912680080169895,0.7891203703703703
Liver (PDFF),NAFL,0.7877358490566038,,-0.25465049064533424,,0.7877358490566038
LSM,"Others, Probable NASH",0.7862068965517242,0.7101449275362319,0.4011917907916339,0.1659150451732776,0.7862068965517242
LSM_plus_Liver/Spleen HU,"Others, None, NAFL, Probable NASH, NASH",0.7799244947812569,0.7859052711993888,0.4280196771952685,0.3333334077046199,0.7859052711993888
Spleen (HU),"NAFL, Probable NASH",0.5690208667736758,0.7833333333333333,-0.08194327128417112,-0.16505632294338118,0.7833333333333333
LSM_C,"Others, Probable NASH",0.7833333333333333,0.6865942028985508,0.40669345636567883,0.15085599561409627,0.7833333333333333
SFI,"Others, NAFL",0.5051851851851852,0.7831325301204819,0.005555949273394224,-0.10638268077470611,0.7831325301204819
FIB-4_C,Probable NASH,0.7194444444444446,0.7829457364341085,0.34630619575500493,0.26728982703967685,0.7829457364341085
PLT,"Others, Probable NASH",0.6735632183908046,0.782608695652174,-0.24296811579719313,-0.22282916170666292,0.782608695652174
VFA (Attenuation),"NASH, Cirrhosis",0.7819397993311038,0.7011128775834659,0.4291538134644697,0.34392347761492914,0.7819397993311038
LSM,"Others, Cirrhosis",0.7805397727272727,0.7211538461538461,0.4791139234190138,0.3840769179553183,0.7805397727272727
Sex,"Others, None, NAFL",0.6212121212121212,0.780373831775701,-0.13483997249264842,0.10808442529177924,0.780373831775701
LSM_plus_Liver/Spleen HU,"Others, Probable NASH, NASH, Cirrhosis",0.7800925925925926,0.7732418524871354,0.48513460119406054,0.4489051862133723,0.7800925925925926
eGFR,"Others, None",0.6217391304347826,0.78,-0.12542902962062613,0.1345076491962732,0.78
LSM,"Others, Probable NASH, NASH, Cirrhosis",0.7790123456790123,0.7677530017152658,0.4840855426713173,0.4406358364916797,0.7790123456790123
PLT,"NASH, Cirrhosis",0.7785953177257525,0.7350291467938527,-0.42408169279221897,-0.4019414449670655,0.7785953177257525
DBP,"None, NAFL",0.7775974025974026,,0.20863244951606918,,0.7775974025974026
AST,"Others, None, NAFL",0.6520763187429853,0.7757009345794393,0.14564986520601417,0.0915039350594024,0.7757009345794393
Spleen_Vl_Nor_WH,Probable NASH,0.5277777777777778,0.7751937984496124,0.039699422278360916,0.23543386651738568,0.7751937984496124
eGFR,Probable NASH,0.5638888888888889,0.7751937984496124,-0.09130867124023011,-0.23543386651738568,0.7751937984496124
eGFR,"None, NAFL, Probable NASH",0.5992414664981037,0.7741935483870968,-0.10767051205793149,-0.14425439957670277,0.7741935483870968
ALT,NAFL,0.7735849056603774,,0.24218556990787046,,0.7735849056603774
LSM,"Others, NAFL, Probable NASH, NASH",0.7685912542550406,0.7727870289219982,0.4268635865715072,0.3351227786855994,0.7727870289219982
Liver (PDFF),"NASH, Cirrhosis",0.7725752508361204,0.6793852676205617,-0.41489959427466516,-0.3067670544733953,0.7725752508361204
LSM_minus_Liver/Spleen HU,"Others, NAFL, Probable NASH, NASH",0.7700968840010474,0.7714723926380369,0.42812699161817225,0.33263021514262864,0.7714723926380369
LSM_plus_Liver/Spleen HU,"Others, Probable NASH",0.771264367816092,0.7101449275362319,0.379717743692891,0.1656845327961731,0.771264367816092
BMI,"Others, None, NAFL",0.5190796857463524,0.7710280373831775,-0.018268452521106954,-0.08992859339513415,0.7710280373831775
LSM_C,"Others, NAFL, Probable NASH, NASH",0.7542550405865411,0.7708150744960561,0.4160338209441401,0.34254283818411535,0.7708150744960561
LSM_minus_Liver/Spleen HU,"Others, Cirrhosis",0.7698863636363635,0.7129120879120878,0.45945037978998626,0.3685847410384882,0.7698863636363635
LSM_minus_Liver/Spleen HU,"Others, Probable NASH, NASH, Cirrhosis",0.7683641975308642,0.7526586620926243,0.464820425055907,0.4150893529769601,0.7683641975308642
SFA (Volume),"Others, Probable NASH",0.5528735632183908,0.7681159420289855,-0.07401278055030927,-0.21139061080891047,0.7681159420289855
VFA (Volume),"NASH, Cirrhosis",0.7672240802675585,0.7429782723900371,-0.4067543261662055,-0.41551756122910416,0.7672240802675585
LSM_plus_Liver/Spleen HU,"Others, NAFL, Probable NASH, NASH",0.7610631055250064,0.7670902716914987,0.4138076690676857,0.32726088156486227,0.7670902716914987
AST,NAFL,0.7665094339622641,,0.23607145934712798,,0.7665094339622641
LSM_C,"Others, Probable NASH, NASH, Cirrhosis",0.7662808641975308,0.7608061749571183,0.478352400115876,0.44439856077533124,0.7662808641975308
LSM_plus_Liver/Spleen HU,"NASH, Cirrhosis",0.7525083612040134,0.7657657657657658,0.3843548388679414,0.4544864928165664,0.7657657657657658
Liver (PDFF),"None, NAFL",0.762987012987013,,-0.19740055254179867,,0.762987012987013
VFA (Area),"Others, None",0.6260869565217391,0.76,-0.12990863782136278,-0.12489995996796795,0.76
eGFR,"NAFL, Probable NASH",0.5818619582664526,0.76,-0.0971885310579704,-0.1514634492892204,0.76
TFI,"Others, None",0.5478260869565217,0.76,-0.04927569020810312,-0.12489995996796795,0.76
Liver/Spleen HU,Probable NASH,0.6138888888888889,0.7596899224806202,0.16276763134127972,0.2221699867135893,0.7596899224806202
T.bil,"Others, NAFL",0.5622222222222223,0.7590361445783133,-0.06687005559081349,0.09761885153883182,0.7590361445783133
BMI_C,"Others, NAFL",0.5785185185185187,0.7590361445783133,-0.09091102294212954,-0.10517002449503053,0.7590361445783133
PLT,"Others, NAFL",0.5192592592592593,0.7590361445783133,-0.020639831285858345,0.09734509892441023,0.7590361445783133
SMA (Attenuation),"Others, NAFL",0.722962962962963,0.7590361445783133,-0.23890581875595163,0.09732883560239071,0.7590361445783133
SMA (Attenuation),"Others, None, NAFL",0.7194163860830527,0.7570093457943925,-0.21008420178196216,0.08527589579022395,0.7570093457943925
SFI,"Others, None, NAFL",0.5342312008978676,0.7570093457943925,0.032775284676981306,-0.08527589579022395,0.7570093457943925
PLT,"Probable NASH, NASH, Cirrhosis",0.7450847457627119,0.756712962962963,-0.4214887625478127,-0.4362171682461194,0.756712962962963
FIB-4_plus_Liver/Spleen HU,"Probable NASH, NASH, Cirrhosis",0.7473446327683616,0.7562500000000001,0.4253603911577757,0.43541528012394504,0.7562500000000001
VFA (Attenuation),"Probable NASH, NASH, Cirrhosis",0.7545762711864407,0.706712962962963,0.4377966931377198,0.35124285921470905,0.7545762711864407
PLT,"Others, NAFL, Probable NASH",0.6021811284969181,0.753968253968254,-0.1250543375218188,-0.15194432237866343,0.753968253968254
Age,"NASH, Cirrhosis",0.7538461538461538,0.7021727609962904,0.38662443198349966,0.3459447173872141,0.7538461538461538
LSM,"Probable NASH, NASH",0.753707627118644,0.7465277777777777,0.4376519157531047,0.37139959210864765,0.753707627118644
AST,"None, NAFL",0.7532467532467533,,0.19018071071977363,,0.7532467532467533
LSM_plus_Liver/Spleen HU,"Probable NASH, NASH",0.7531779661016949,0.7481481481481481,0.4362127383964436,0.37339089769510875,0.7531779661016949
FIB-4,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.7267311988086373,0.7530480791350356,0.37866149473572486,0.3801628927856619,0.7530480791350356
